epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5595.81,0.10132,11.9336,1.19078,0.93669,0.9513,0.96946,0.60699,0.09379,10.3675,1.18698,0.00955072,0.00955072,0.00955072
43,5727.85,0.10162,11.8502,1.19732,0.92724,0.94882,0.9629,0.59083,0.09459,9.95286,1.1859,0.00952889,0.00952889,0.00952889
44,5861.16,0.10179,11.859,1.19548,0.94323,0.95578,0.97363,0.61591,0.09347,9.64252,1.17315,0.00950658,0.00950658,0.00950658
45,5992.96,0.10196,11.9184,1.19972,0.93683,0.94332,0.97452,0.61124,0.09154,9.70029,1.16693,0.00948377,0.00948377,0.00948377
46,6124.19,0.10072,11.7729,1.18873,0.9464,0.96108,0.97438,0.61625,0.09237,9.80897,1.1699,0.00946048,0.00946048,0.00946048
47,6255.97,0.10138,11.8279,1.1956,0.94892,0.95879,0.97682,0.62261,0.08888,9.32687,1.15412,0.00943671,0.00943671,0.00943671
48,6386,0.10093,11.6349,1.1863,0.93995,0.96669,0.97624,0.62494,0.08974,9.49725,1.15749,0.00941245,0.00941245,0.00941245
49,6518.97,0.10124,11.7219,1.19072,0.92816,0.9687,0.97197,0.61283,0.09064,9.34894,1.15696,0.00938772,0.00938772,0.00938772
50,6649.72,0.10158,11.7914,1.19407,0.94427,0.96038,0.97433,0.60685,0.09226,9.46515,1.16987,0.00936251,0.00936251,0.00936251
51,6782.95,0.10035,11.6155,1.18067,0.94724,0.96024,0.97482,0.61298,0.09286,9.5501,1.16908,0.00933683,0.00933683,0.00933683
52,6915.69,0.10031,11.6359,1.18874,0.94258,0.96108,0.97166,0.60788,0.09476,9.58823,1.1833,0.00931067,0.00931067,0.00931067
53,7046.78,0.10013,11.4827,1.18534,0.93988,0.96277,0.96872,0.61112,0.09423,9.54834,1.18357,0.00928405,0.00928405,0.00928405
54,7178.7,0.09961,11.4956,1.1812,0.93631,0.95768,0.97014,0.60548,0.09463,9.4081,1.18238,0.00925697,0.00925697,0.00925697
55,7311.07,0.09982,11.6361,1.1831,0.94424,0.95987,0.97319,0.62639,0.09105,9.44075,1.15984,0.00922942,0.00922942,0.00922942
56,7442.02,0.09996,11.493,1.18527,0.95302,0.96193,0.97368,0.62483,0.08974,9.27629,1.15022,0.00920142,0.00920142,0.00920142
57,7572.81,0.0995,11.4183,1.18114,0.94982,0.9577,0.97288,0.62979,0.09062,9.21848,1.16053,0.00917296,0.00917296,0.00917296
58,7704.22,0.10095,11.595,1.18796,0.94354,0.96137,0.96995,0.62099,0.09204,9.333,1.16595,0.00914405,0.00914405,0.00914405
59,7837.27,0.09994,11.4294,1.18056,0.94002,0.95939,0.97296,0.62925,0.09003,9.19423,1.15454,0.00911469,0.00911469,0.00911469
60,7966.96,0.09963,11.2056,1.17679,0.93905,0.9645,0.97129,0.61916,0.09074,9.1618,1.15841,0.00908488,0.00908488,0.00908488
61,8097.48,0.09935,11.2229,1.17766,0.94234,0.96362,0.97301,0.62304,0.09059,9.34406,1.15934,0.00905463,0.00905463,0.00905463
62,8229.15,0.09907,11.2953,1.17154,0.94994,0.96531,0.97548,0.61719,0.09044,9.31046,1.15708,0.00902395,0.00902395,0.00902395
63,8360.92,0.09952,11.4479,1.17883,0.94965,0.97208,0.97748,0.63123,0.08852,9.28812,1.15131,0.00899282,0.00899282,0.00899282
64,8491.51,0.09892,11.2442,1.17789,0.94318,0.96905,0.9757,0.64003,0.08753,9.11902,1.14401,0.00896127,0.00896127,0.00896127
65,8624.05,0.09872,11.248,1.17569,0.94572,0.96362,0.97362,0.63386,0.08733,9.21727,1.14403,0.00892928,0.00892928,0.00892928
