epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,23801.6,0.08838,9.51823,1.10884,0.95767,0.97547,0.98171,0.67622,0.08159,8.18933,1.10561,0.00356975,0.00356975,0.00356975
181,23934.1,0.08873,9.60266,1.10873,0.95705,0.97547,0.98177,0.67675,0.08157,8.18934,1.10547,0.00352037,0.00352037,0.00352037
182,24067.8,0.08817,9.52967,1.10637,0.95553,0.97377,0.98121,0.67674,0.08154,8.18348,1.10521,0.00347115,0.00347115,0.00347115
183,24200.4,0.08849,9.43906,1.10489,0.95571,0.97377,0.98121,0.67697,0.08153,8.17714,1.10485,0.00342211,0.00342211,0.00342211
184,24330.5,0.08824,9.44933,1.10918,0.95636,0.97377,0.98132,0.67709,0.08151,8.1732,1.10474,0.00337325,0.00337325,0.00337325
185,24464.8,0.0884,9.46018,1.10802,0.95644,0.97377,0.9812,0.67804,0.08149,8.17505,1.10466,0.00332457,0.00332457,0.00332457
186,24598.9,0.08816,9.44691,1.1112,0.95645,0.97377,0.98116,0.67874,0.08147,8.17202,1.10434,0.00327608,0.00327608,0.00327608
187,24731.8,0.08775,9.48775,1.10552,0.95639,0.97377,0.98122,0.67751,0.08148,8.16816,1.10426,0.00322778,0.00322778,0.00322778
188,24864.6,0.08758,9.40271,1.10173,0.9565,0.97377,0.98074,0.67823,0.08147,8.16715,1.10429,0.00317969,0.00317969,0.00317969
189,24997,0.08743,9.4449,1.10356,0.95653,0.97377,0.98071,0.67825,0.08147,8.16575,1.1043,0.0031318,0.0031318,0.0031318
190,25131,0.08738,9.3503,1.10318,0.95655,0.97377,0.98054,0.67722,0.08144,8.15947,1.10401,0.00308412,0.00308412,0.00308412
191,25259.7,0.08729,9.33606,1.10044,0.95738,0.97462,0.98081,0.67731,0.08147,8.16324,1.10417,0.00303665,0.00303665,0.00303665
192,25391.8,0.08734,9.28015,1.09968,0.9574,0.97462,0.9809,0.67685,0.08144,8.15352,1.104,0.00298941,0.00298941,0.00298941
193,25523,0.08701,9.23839,1.0968,0.95821,0.97547,0.98116,0.67774,0.08145,8.14637,1.1041,0.00294239,0.00294239,0.00294239
194,25658.2,0.08697,9.27719,1.09582,0.95743,0.97462,0.98094,0.67699,0.0814,8.14308,1.1039,0.00289561,0.00289561,0.00289561
195,25791.7,0.08738,9.34526,1.09828,0.95743,0.97462,0.98097,0.6773,0.0814,8.14768,1.10382,0.00284906,0.00284906,0.00284906
196,25924.7,0.08666,9.24267,1.09842,0.95833,0.97547,0.98122,0.67772,0.08141,8.14014,1.10371,0.00280275,0.00280275,0.00280275
197,26056.4,0.08684,9.29729,1.10171,0.95844,0.97547,0.98124,0.67765,0.08137,8.12634,1.10328,0.00275668,0.00275668,0.00275668
198,26188.6,0.08655,9.20201,1.09828,0.95858,0.97547,0.98128,0.67791,0.08136,8.12675,1.10309,0.00271087,0.00271087,0.00271087
199,26319.8,0.08669,9.27173,1.09739,0.95845,0.97547,0.9813,0.67867,0.08133,8.12399,1.10294,0.00266532,0.00266532,0.00266532
200,26452.7,0.08681,9.239,1.09914,0.95946,0.97547,0.9813,0.6785,0.08128,8.10992,1.10251,0.00262003,0.00262003,0.00262003
201,26584.6,0.08629,9.14799,1.09757,0.95975,0.97547,0.98131,0.67904,0.08126,8.10343,1.10238,0.002575,0.002575,0.002575
202,26715.2,0.08677,9.16604,1.09692,0.95978,0.97547,0.98134,0.67885,0.08124,8.10213,1.10238,0.00253024,0.00253024,0.00253024
203,26846.6,0.08571,9.06286,1.09023,0.95919,0.97443,0.98124,0.67801,0.0812,8.09349,1.10217,0.00248577,0.00248577,0.00248577
204,26979.4,0.08634,9.20072,1.09781,0.95999,0.97439,0.9816,0.67937,0.08119,8.0976,1.10216,0.00244157,0.00244157,0.00244157
205,27115.6,0.08568,9.19782,1.09297,0.95964,0.97377,0.98165,0.67893,0.08116,8.085,1.10184,0.00239766,0.00239766,0.00239766
206,27248.2,0.08621,9.16681,1.09401,0.95836,0.97293,0.98137,0.67921,0.08114,8.08489,1.10171,0.00235404,0.00235404,0.00235404
207,27380.6,0.08535,9.06801,1.08965,0.95929,0.97293,0.98108,0.67987,0.08111,8.08377,1.10156,0.00231071,0.00231071,0.00231071
208,27511.7,0.08589,9.08346,1.09393,0.95877,0.97293,0.98115,0.67957,0.08107,8.07965,1.10139,0.00226769,0.00226769,0.00226769
209,27643.5,0.085,9.03803,1.08891,0.95821,0.97208,0.98062,0.68021,0.08103,8.0754,1.10133,0.00222497,0.00222497,0.00222497
210,27777.5,0.08576,9.05612,1.09034,0.95861,0.97208,0.98068,0.68055,0.08101,8.07761,1.1012,0.00218256,0.00218256,0.00218256
211,27909.6,0.08514,8.96955,1.08812,0.95908,0.97293,0.98127,0.68021,0.08103,8.08062,1.10112,0.00214046,0.00214046,0.00214046
212,28040,0.08498,9.04298,1.08393,0.95861,0.97208,0.98073,0.68006,0.08098,8.07711,1.1009,0.00209869,0.00209869,0.00209869
213,28173.5,0.08464,8.94214,1.08554,0.95997,0.97208,0.9808,0.68065,0.08092,8.07833,1.1007,0.00205723,0.00205723,0.00205723
214,28305.6,0.08569,9.01255,1.09298,0.95926,0.97124,0.98053,0.68067,0.0809,8.07254,1.10029,0.00201611,0.00201611,0.00201611
215,28439.4,0.08559,8.96186,1.0882,0.95969,0.97124,0.98061,0.68114,0.08088,8.07089,1.10034,0.00197532,0.00197532,0.00197532
216,28573.1,0.08528,8.95971,1.09088,0.95984,0.97064,0.98059,0.68149,0.08085,8.05967,1.1,0.00193486,0.00193486,0.00193486
217,28705.7,0.08486,8.96259,1.08819,0.9594,0.97039,0.98098,0.68199,0.08084,8.07,1.09969,0.00189475,0.00189475,0.00189475
218,28840.2,0.08455,8.92497,1.08059,0.96036,0.97124,0.98163,0.68249,0.08079,8.06838,1.09941,0.00185498,0.00185498,0.00185498
219,28975,0.08516,8.94866,1.08882,0.96015,0.97124,0.9812,0.68247,0.08073,8.06028,1.09926,0.00181557,0.00181557,0.00181557
220,29106.4,0.08441,8.81237,1.0832,0.96105,0.97124,0.98124,0.68319,0.08068,8.05726,1.0992,0.00177651,0.00177651,0.00177651
221,29239.3,0.08426,8.93265,1.08471,0.96217,0.97208,0.98191,0.68339,0.08062,8.05065,1.09887,0.0017378,0.0017378,0.0017378
222,29372.5,0.08436,8.86151,1.08425,0.96268,0.97208,0.98198,0.68319,0.08063,8.05294,1.09894,0.00169946,0.00169946,0.00169946
223,29502.7,0.0848,8.90446,1.08293,0.96474,0.97124,0.98166,0.68311,0.08062,8.04769,1.09879,0.00166149,0.00166149,0.00166149
224,29633.9,0.08414,8.85963,1.0834,0.96474,0.97124,0.98168,0.68277,0.08058,8.04883,1.09886,0.00162389,0.00162389,0.00162389
225,29764.3,0.08408,8.81335,1.08092,0.96554,0.97204,0.98173,0.68318,0.08056,8.04995,1.09887,0.00158667,0.00158667,0.00158667
226,29896.8,0.08421,8.84811,1.08372,0.96554,0.97187,0.98185,0.68395,0.08054,8.04336,1.09876,0.00154982,0.00154982,0.00154982
227,30030.7,0.08427,8.75912,1.08291,0.96472,0.97178,0.9819,0.68481,0.0805,8.04697,1.09875,0.00151336,0.00151336,0.00151336
228,30161.5,0.08368,8.79646,1.0832,0.96554,0.97177,0.98195,0.68541,0.08045,8.04522,1.09859,0.00147729,0.00147729,0.00147729
229,30294.1,0.08343,8.74499,1.08262,0.96553,0.97157,0.982,0.68548,0.0804,8.04294,1.09846,0.00144161,0.00144161,0.00144161
230,30425.3,0.08357,8.77601,1.07937,0.96552,0.97127,0.98203,0.6865,0.08032,8.04621,1.09794,0.00140632,0.00140632,0.00140632
231,30558.2,0.0836,8.7399,1.07793,0.9666,0.97124,0.98209,0.68671,0.0803,8.03945,1.09769,0.00137143,0.00137143,0.00137143
232,30691,0.08406,8.744,1.07812,0.96716,0.97169,0.98213,0.68702,0.08026,8.04152,1.0977,0.00133695,0.00133695,0.00133695
233,30822.6,0.08275,8.71169,1.07509,0.96715,0.97152,0.98214,0.68763,0.0802,8.03103,1.09716,0.00130287,0.00130287,0.00130287
234,30953.7,0.08321,8.66973,1.07477,0.96797,0.97152,0.98216,0.68792,0.08018,8.01724,1.09711,0.00126921,0.00126921,0.00126921
235,31085.1,0.08313,8.68997,1.07683,0.96747,0.97124,0.98215,0.68801,0.08012,8.01625,1.09669,0.00123596,0.00123596,0.00123596
236,31214.6,0.08324,8.68139,1.07582,0.96867,0.97039,0.98216,0.68884,0.08007,8.004,1.09634,0.00120313,0.00120313,0.00120313
237,31346.8,0.08327,8.73035,1.08022,0.96875,0.97034,0.98255,0.68955,0.08004,7.9932,1.09638,0.00117072,0.00117072,0.00117072
238,31479,0.08261,8.63378,1.06888,0.96872,0.97039,0.98261,0.68883,0.08001,7.99443,1.09629,0.00113873,0.00113873,0.00113873
239,31610.9,0.08292,8.61507,1.07457,0.96873,0.97039,0.98262,0.68925,0.08,7.98573,1.09632,0.00110718,0.00110718,0.00110718
240,31743,0.08269,8.55831,1.07252,0.96852,0.97039,0.98272,0.6893,0.07999,7.98955,1.09632,0.00107605,0.00107605,0.00107605
241,31876,0.08273,8.61136,1.07229,0.96864,0.97039,0.98275,0.6889,0.07996,7.98031,1.09615,0.00104537,0.00104537,0.00104537
242,32006.2,0.08258,8.57171,1.07321,0.9694,0.97039,0.98281,0.68944,0.07995,7.98301,1.09594,0.00101512,0.00101512,0.00101512
243,32137.4,0.08242,8.57488,1.07558,0.96936,0.97039,0.9829,0.68937,0.07997,7.97574,1.09596,0.000985311,0.000985311,0.000985311
244,32269.9,0.08283,8.63161,1.07584,0.96958,0.97086,0.98342,0.68965,0.07994,7.96885,1.0958,0.000955951,0.000955951,0.000955951
245,32403.3,0.08255,8.68411,1.07093,0.96958,0.97077,0.98298,0.69012,0.07993,7.96645,1.09583,0.00092704,0.00092704,0.00092704
246,32533.9,0.08201,8.52116,1.06968,0.96958,0.97081,0.98308,0.69034,0.07993,7.96286,1.09581,0.000898581,0.000898581,0.000898581
247,32665.1,0.08219,8.53568,1.07023,0.96958,0.97085,0.98353,0.69054,0.07984,7.9612,1.09541,0.000870577,0.000870577,0.000870577
248,32797.6,0.0824,8.61457,1.07381,0.96959,0.97109,0.98357,0.69094,0.07986,7.94757,1.09565,0.000843031,0.000843031,0.000843031
249,32931.3,0.08185,8.52197,1.07184,0.96893,0.97039,0.98366,0.69036,0.07983,7.93515,1.09537,0.000815947,0.000815947,0.000815947
250,33067,0.0819,8.46941,1.07386,0.96959,0.97117,0.984,0.691,0.07982,7.92794,1.09542,0.000789327,0.000789327,0.000789327
251,33198.3,0.08165,8.49251,1.06762,0.9688,0.97039,0.984,0.69166,0.0798,7.92038,1.09556,0.000763174,0.000763174,0.000763174
252,33331.1,0.0815,8.41709,1.06656,0.9689,0.97039,0.98405,0.69246,0.07977,7.90475,1.09536,0.000737492,0.000737492,0.000737492
253,33461.4,0.0813,8.42964,1.06443,0.96884,0.97039,0.98413,0.69204,0.07978,7.90604,1.0955,0.000712282,0.000712282,0.000712282
254,33593.3,0.08128,8.47585,1.06697,0.96907,0.97039,0.98416,0.69258,0.07974,7.89107,1.0952,0.000687548,0.000687548,0.000687548
255,33726,0.08183,8.47722,1.06615,0.96901,0.97039,0.98425,0.69223,0.0797,7.88897,1.09514,0.000663292,0.000663292,0.000663292
256,33857.4,0.08139,8.42003,1.06835,0.96892,0.97039,0.98428,0.69248,0.07967,7.88385,1.09491,0.000639518,0.000639518,0.000639518
257,33988.8,0.0815,8.48898,1.06673,0.96909,0.97039,0.98426,0.69298,0.07965,7.87602,1.09487,0.000616227,0.000616227,0.000616227
258,34121.9,0.08204,8.41916,1.07084,0.96995,0.97124,0.98549,0.69403,0.07965,7.87321,1.09466,0.000593422,0.000593422,0.000593422
259,34253.9,0.08142,8.47373,1.06713,0.96963,0.97124,0.98556,0.69375,0.07965,7.8788,1.09455,0.000571106,0.000571106,0.000571106
260,34386.2,0.08137,8.44048,1.06649,0.96911,0.97124,0.98559,0.69437,0.07961,7.87872,1.09433,0.000549281,0.000549281,0.000549281
261,34518.3,0.08164,8.4106,1.06599,0.971,0.97124,0.98563,0.69514,0.07959,7.87443,1.09408,0.00052795,0.00052795,0.00052795
262,34649.1,0.08064,8.37739,1.06084,0.97073,0.97124,0.98564,0.69524,0.07952,7.86828,1.09364,0.000507115,0.000507115,0.000507115
263,34779.6,0.08083,8.39287,1.06535,0.97147,0.97124,0.98564,0.69479,0.07949,7.86299,1.09326,0.000486777,0.000486777,0.000486777
264,34910.8,0.08087,8.43769,1.067,0.96941,0.97124,0.98567,0.69592,0.07947,7.85741,1.09311,0.000466941,0.000466941,0.000466941
265,35043.6,0.08143,8.46243,1.06779,0.97057,0.97124,0.9857,0.69573,0.07943,7.8494,1.09285,0.000447606,0.000447606,0.000447606
266,35172.1,0.08067,8.35541,1.06242,0.97027,0.97124,0.98575,0.69594,0.07941,7.84815,1.09268,0.000428777,0.000428777,0.000428777
267,35305.1,0.08035,8.27917,1.05926,0.9714,0.97124,0.98574,0.69504,0.07937,7.84655,1.09245,0.000410454,0.000410454,0.000410454
268,35435.8,0.08127,8.36848,1.06565,0.97037,0.97124,0.98575,0.69604,0.07934,7.84453,1.09214,0.00039264,0.00039264,0.00039264
269,35565.9,0.08021,8.30768,1.05841,0.97057,0.97124,0.98579,0.69651,0.07928,7.83814,1.09188,0.000375337,0.000375337,0.000375337
270,35696.8,0.08073,8.31137,1.06352,0.97073,0.97124,0.98581,0.69692,0.07926,7.83948,1.0917,0.000358546,0.000358546,0.000358546
271,35827.3,0.08101,8.35239,1.06551,0.97098,0.97124,0.98585,0.69712,0.07918,7.83857,1.09128,0.00034227,0.00034227,0.00034227
272,35961.2,0.08041,8.28041,1.06186,0.97125,0.97124,0.98588,0.69704,0.07914,7.83178,1.09109,0.00032651,0.00032651,0.00032651
273,36091,0.08053,8.253,1.06125,0.97246,0.97124,0.98592,0.6974,0.0791,7.82496,1.09068,0.000311268,0.000311268,0.000311268
274,36224.2,0.08062,8.31262,1.06188,0.97474,0.97208,0.98599,0.69694,0.0791,7.81305,1.0905,0.000296546,0.000296546,0.000296546
275,36354.7,0.08059,8.30007,1.05997,0.97481,0.97208,0.98603,0.69771,0.07907,7.81548,1.09033,0.000282345,0.000282345,0.000282345
276,36487,0.08009,8.26394,1.0592,0.97345,0.97208,0.98678,0.69821,0.07899,7.8032,1.0898,0.000268667,0.000268667,0.000268667
277,36619.1,0.08053,8.33912,1.06108,0.97332,0.97208,0.98682,0.6975,0.07895,7.79946,1.08954,0.000255513,0.000255513,0.000255513
278,36751.6,0.0805,8.26396,1.05849,0.97323,0.97208,0.98683,0.69777,0.07891,7.79274,1.08927,0.000242885,0.000242885,0.000242885
279,36883.2,0.08017,8.24093,1.05581,0.97348,0.97293,0.98688,0.69824,0.07888,7.79029,1.08913,0.000230784,0.000230784,0.000230784
280,37014.5,0.07974,8.19838,1.0546,0.97367,0.97293,0.98689,0.69889,0.07884,7.78649,1.08882,0.000219212,0.000219212,0.000219212
281,37147.3,0.08017,8.21575,1.05788,0.97412,0.97293,0.98692,0.69928,0.0788,7.78905,1.08865,0.000208169,0.000208169,0.000208169
282,37280.9,0.07987,8.19457,1.05562,0.97375,0.97301,0.98692,0.69928,0.07878,7.78186,1.08837,0.000197658,0.000197658,0.000197658
283,37411.2,0.07948,8.20314,1.05629,0.97333,0.97293,0.98695,0.69951,0.07876,7.78028,1.08817,0.000187678,0.000187678,0.000187678
284,37542.5,0.07959,8.21401,1.05494,0.9725,0.97377,0.98688,0.69987,0.07874,7.7719,1.08798,0.000178232,0.000178232,0.000178232
285,37673.5,0.07997,8.21557,1.05698,0.97293,0.97312,0.98694,0.69985,0.0787,7.7669,1.08767,0.00016932,0.00016932,0.00016932
286,37806.1,0.07948,8.17216,1.05454,0.97465,0.97293,0.98689,0.70014,0.07868,7.76781,1.08755,0.000160943,0.000160943,0.000160943
287,37938.4,0.07995,8.22906,1.05574,0.97471,0.97293,0.98689,0.70078,0.07862,7.75956,1.08726,0.000153102,0.000153102,0.000153102
288,38071,0.07974,8.19044,1.05386,0.97452,0.97377,0.98688,0.70063,0.0786,7.76009,1.08711,0.000145798,0.000145798,0.000145798
289,38203.1,0.08026,8.22039,1.06216,0.9737,0.97377,0.98688,0.70168,0.07854,7.75234,1.08675,0.000139032,0.000139032,0.000139032
290,38334.9,0.07959,8.17815,1.05831,0.97293,0.9732,0.98687,0.70104,0.07851,7.75824,1.08669,0.000132805,0.000132805,0.000132805
291,38473.9,0.08509,8.51746,1.13724,0.97294,0.97348,0.98689,0.70261,0.07847,7.75178,1.0865,0.000127117,0.000127117,0.000127117
292,38603.8,0.08398,8.38211,1.12374,0.97294,0.97377,0.98695,0.70203,0.07842,7.74478,1.08621,0.000121968,0.000121968,0.000121968
293,38735.3,0.08387,8.34947,1.12248,0.97296,0.97418,0.98685,0.70222,0.07836,7.7521,1.08616,0.00011736,0.00011736,0.00011736
294,38864,0.08281,8.23512,1.11737,0.97297,0.97445,0.98688,0.70335,0.07831,7.7536,1.08606,0.000113293,0.000113293,0.000113293
295,38994,0.08268,8.22124,1.12146,0.97282,0.97462,0.98682,0.70331,0.07827,7.74803,1.08578,0.000109768,0.000109768,0.000109768
296,39121.3,0.08259,8.23154,1.11515,0.97271,0.97462,0.9868,0.7036,0.07821,7.74187,1.08536,0.000106784,0.000106784,0.000106784
297,39249.8,0.0826,8.17652,1.11825,0.97413,0.97208,0.98679,0.70415,0.07816,7.73796,1.08499,0.000104342,0.000104342,0.000104342
298,39379.7,0.08169,8.12684,1.11367,0.97373,0.97209,0.98678,0.70485,0.07812,7.73805,1.08462,0.000102443,0.000102443,0.000102443
299,39506.6,0.08185,8.12407,1.10945,0.97372,0.97462,0.98675,0.7048,0.07809,7.72739,1.08469,0.000101086,0.000101086,0.000101086
300,39637.6,0.08214,8.10289,1.11563,0.97535,0.97377,0.98677,0.70505,0.07806,7.72981,1.08452,0.000100271,0.000100271,0.000100271
